City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
81,Ambovombe,MG,-25.17,46.08,73.53,89,67,8.7,broken clouds
82,Hami,CN,42.80,93.45,23.27,56,3,3.38,clear sky
83,Morden,CA,49.19,-98.10,8.98,78,100,8.05,overcast clouds
84,Antofagasta,CL,-23.65,-70.40,67.12,73,89,10.13,overcast clouds
85,Severo-Kurilsk,RU,50.68,156.12,27.25,88,100,32.12,light snow
86,Thompson,CA,55.74,-97.86,-12.84,77,75,5.75,broken clouds
87,Coquimbo,CL,-29.95,-71.34,65.93,68,20,13.8,few clouds
88,Hambantota,LK,6.12,81.12,73.74,100,40,0.0,scattered clouds
89,Dunedin,NZ,-45.87,170.50,58.8,51,59,11.99,broken clouds
90,Maltahohe,NA,-24.83,16.98,70.68,27,81,8.14,broken clouds
91,Lima,PE,-12.04,-77.03,68.25,73,75,10.36,broken clouds
92,Djibo,BF,14.10,-1.63,77.31,14,96,9.28,overcast clouds
93,Esperance,AU,-33.87,121.90,53.44,74,86,10.96,overcast clouds
94,Norman Wells,CA,65.28,-126.83,-18.36,63,90,4.61,overcast clouds
95,Honningsvag,NO,70.98,25.97,31.75,100,75,18.41,light snow
96,Hithadhoo,MV,-0.60,73.08,81.72,75,78,5.3,broken clouds
97,Saldanha,ZA,-33.01,17.94,69.85,51,26,12.82,scattered clouds
98,Greenlaw,GB,55.71,-2.46,37.06,90,17,2.06,few clouds
99,San Buenaventura,MX,27.08,-101.53,76.12,43,75,0.0,broken clouds
100,Pedernales,DO,18.04,-71.74,83.35,57,4,4.32,clear sky
101,Faanui,PF,-16.48,-151.75,81.55,70,37,14.92,scattered clouds
102,Moron,AR,-34.65,-58.62,83.95,62,0,7.0,clear sky
103,Kloulklubed,PW,7.04,134.26,83.61,79,92,12.91,overcast clouds
104,Vila Velha,BR,-20.33,-40.29,80.94,85,75,8.05,moderate rain
105,Calabozo,VE,8.92,-67.43,93.02,30,92,8.95,overcast clouds
106,Port Alfred,ZA,-33.59,26.89,63.39,66,96,21.63,overcast clouds
107,Vaini,TO,-21.20,-175.20,84.36,74,40,12.66,scattered clouds
108,Antalya,TR,36.77,30.72,51.01,49,40,11.5,scattered clouds
109,Guaiba,BR,-30.11,-51.33,77.58,72,75,20.71,broken clouds
110,Hermanus,ZA,-34.42,19.23,60.8,71,0,21.74,clear sky
111,Bougouni,ML,11.42,-7.48,80.76,18,90,5.55,overcast clouds
112,San Quintin,MX,30.48,-115.95,62.06,53,100,4.36,overcast clouds
113,San Pedro Buenavista,MX,16.08,-93.12,85.69,46,19,0.87,few clouds
114,Hun,LY,29.13,15.95,51.48,60,0,4.61,clear sky
115,Manoel Urbano,BR,-8.84,-69.26,82.76,77,100,3.51,overcast clouds
116,Touros,BR,-5.20,-35.46,83.3,77,13,15.46,few clouds
