City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
133,Lupiro,TZ,73.8,broken clouds,-8.38,36.67,AFRICAN JACCANA EXECUTIVE LODGE
136,Sal Rei,CV,72.16,overcast clouds,16.18,-22.92,Marine Club Beach Resort
137,Hilo,US,82.27,broken clouds,19.73,-155.09,Hilo Hawaiian Hotel
140,Agadez,NE,60.53,clear sky,19.75,10.25,
142,Puro,PH,78.76,overcast clouds,12.48,123.38,
143,Ngaoundere,CM,68.25,scattered clouds,7.32,13.58,Hotel Mentong Palace
144,Samarai,PG,80.96,broken clouds,-10.62,150.67,Nuli Sapi
145,Humaita,BR,76.06,overcast clouds,-7.51,-63.02,Corrêa Hotel
151,Keti Bandar,PK,62.04,clear sky,24.14,67.45,Haji laloo memon house
153,Saint-Georges,GD,80.28,few clouds,12.06,-61.75,Radisson Grenada Beach Resort
155,Miri,MY,77.14,scattered clouds,4.41,114.01,"Mega Hotel, Miri"
156,Viedma,AR,82.2,overcast clouds,-40.81,-63.0,Hotel Cristal
160,Angoche,MZ,79.0,overcast clouds,-16.23,39.91,Guest House HESADA
164,Calvinia,ZA,68.36,overcast clouds,-31.47,19.78,Die Lemoenhuis
165,Mogadishu,SO,79.95,broken clouds,2.04,45.34,Hotel Juba
166,Port Lincoln,AU,62.42,clear sky,-34.73,135.87,Port Lincoln Hotel
167,Bubaque,GW,82.04,broken clouds,11.28,-15.83,"Casa Dora, Bubaque"
170,Hobart,AU,71.11,clear sky,-42.88,147.33,Mantra on Collins Hobart
171,Sola,VU,81.32,overcast clouds,-13.88,167.55,Ulkel Guest House
172,Mlonggo,ID,80.49,overcast clouds,-6.53,110.7,Asia Metal Art
173,San Cristobal,VE,69.98,overcast clouds,7.77,-72.22,Pirineos
176,Bilma,NE,62.69,scattered clouds,18.69,12.92,Expeditions Ténére voyages
177,Mankono,CI,79.14,scattered clouds,8.06,-6.19,Hôtel cotonputeur
180,Wattegama,LK,72.52,overcast clouds,6.8,81.48,
181,Alofi,NU,84.09,light rain,-19.06,-169.92,Taloa Heights
182,Birnin Kebbi,NG,72.5,few clouds,12.45,4.2,Saffar Guest Inn Ltd
